Learner SignUp DateTime,Opportunity Id,Opportunity Name,Opportunity Category,Opportunity End Date,Date of Birth,Gender,Country,Institution Name,Current/Intended Major,Entry created at,Status Description,Status Code,Apply Date,Opportunity Start Date
2023-01-28 21:56:47,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1997-06-30,Female,Nigeria,Bestower international university,Business Administration,2024-03-11 12:01:41,Started,1080,2023-01-30 23:10:14,2022-11-03 18:30:39
2023-08-18 23:49:02,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1998-09-09,Male,United States,Saint Louis University,Public Health,2024-03-11 12:01:41,Team Allocated,1070,2024-01-24 18:57:13,2022-11-03 18:30:39
2023-06-14 17:51:05,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1997-05-06,Male,Egypt,Abu Dhabi university,Architecture,2024-03-11 12:01:41,Started,1080,2023-06-14 18:04:31,2022-11-03 18:30:39
2023-01-05 16:33:24,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1998-08-22,Male,Nepal,Islington College,Computer Science and Information Systems,2024-03-11 12:01:41,Started,1080,2022-11-10 06:54:18,2022-11-03 18:30:39
2023-03-16 12:11:51,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2004-04-12,Female,India,Akal University,Computer Science and Information Systems,2024-03-11 12:01:41,Started,1080,2023-04-02 18:18:51,2022-11-03 18:30:39
2023-10-31 22:20:20,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2006-07-28,Female,United States,Saint Agnes Academy,Biology,2024-03-11 12:01:41,Team Allocated,1070,2023-10-31 22:24:51,2022-11-03 18:30:39
2023-08-08 07:12:29,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1999-09-04,Female,India,Saint Louis University,Information Systems,2024-03-11 12:01:41,Team Allocated,1070,2023-08-08 07:23:22,2022-11-03 18:30:39
2023-08-15 09:41:38,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2001-11-15,Female,Nigeria,Delta state University  Abraka,Economics,2024-03-11 12:01:41,Team Allocated,1070,2023-09-01 10:12:29,2022-11-03 18:30:39
2023-03-29 23:08:24,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1994-04-20,Female,Kenya,Kenya Utalii College,Oth,2024-03-11 12:01:41,Started,1080,2023-03-29 23:22:50,2022-11-03 18:30:39
2023-07-08 13:11:49,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1994-08-15,Female,Nigeria,Umaru Musa Yaradua University Katsina  Nigeria,Mathematics,2024-03-11 12:01:41,Team Allocated,1070,2023-07-09 13:22:47,2022-11-03 18:30:39
2023-10-16 04:00:54,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2001-02-23,Male,United States,Saint Louis University,Bioinformatics,2024-03-11 12:01:41,Team Allocated,1070,2023-10-19 05:07:05,2022-11-03 18:30:39
2023-05-05 04:14:15,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1997-08-15,Male,India,V. K. R  V. N. B & A. G. K College of Engineering,I Am Major,2024-03-11 12:01:41,Started,1080,2023-06-04 03:04:48,2022-11-03 18:30:39
2023-05-09 05:58:23,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2005-11-24,Female,India,Narayana,Biomedical Engineering,2024-03-11 12:01:41,Started,1080,2023-05-09 06:22:04,2022-11-03 18:30:39
2023-01-05 16:33:14,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2001-02-27,Female,India,Jawaharlal Nehru Technological University,Computer Science and Information Systems,2024-03-11 12:01:41,Started,1080,2022-10-30 07:11:38,2022-11-03 18:30:39
2023-09-15 07:06:52,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2001-12-02,Male,United States,Saint Louis University,Information Systems,2024-03-11 12:01:41,Team Allocated,1070,2024-02-05 20:17:14,2022-11-03 18:30:39
2023-03-17 20:27:41,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2005-04-25,Male,Nigeria,Ambassadors College Ile Ife,Electrical and Electronic Engineering,2024-03-11 12:01:41,Started,1080,2023-03-17 21:22:35,2022-11-03 18:30:39
2023-02-21 14:03:20,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1998-10-09,Male,Nigeria,Federal University of Maiduguri,Business and Management Studies,2024-03-11 12:01:41,Started,1080,2023-06-02 20:07:39,2022-11-03 18:30:39
2023-03-26 08:40:26,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1998-08-20,Female,Pakistan,The University of Lahore,Public Health,2024-03-11 12:01:41,Started,1080,2023-03-26 09:12:55,2022-11-03 18:30:39
2023-08-17 09:19:35,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2001-01-06,Female,Pakistan,University of Punjab,Electrical and Computer Engineering,2024-03-11 12:01:41,Team Allocated,1070,2023-08-21 14:38:18,2022-11-03 18:30:39
2023-08-19 17:42:47,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1999-06-10,Female,United States,Saint Louis university,Information Systems,2024-03-11 12:01:41,Team Allocated,1070,2023-08-19 18:11:18,2022-11-03 18:30:39
2024-02-08 13:34:12,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1991-06-23,Male,Ghana,Christian Service University College,Accounting and Finance,2024-03-11 12:01:41,Team Allocated,1070,2024-02-08 14:11:42,2022-11-03 18:30:39
2023-05-11 05:00:00,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2001-05-04,Male,Zambia,Kasiya College,Secretarial,2024-03-11 12:01:41,Started,1080,2023-05-11 05:09:56,2022-11-03 18:30:39
2023-06-14 05:27:48,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2002-09-07,Female,India,SRM UNIVERSITY,Data Science,2024-03-11 12:01:41,Started,1080,2023-06-14 06:18:54,2022-11-03 18:30:39
2023-06-15 01:53:54,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1999-07-29,Female,Ghana,Kwame Nkrumah University of Science and Technology (KNUST),Statistics,2024-03-11 12:01:41,Started,1080,2023-06-15 02:06:07,2022-11-03 18:30:39
2023-02-23 15:30:28,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2000-03-11,Male,India,Gitam University,Computer Science and Information Systems,2024-03-11 12:01:41,Team Allocated,1070,2024-01-06 16:14:02,2022-11-03 18:30:39
2023-11-09 18:24:55,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2003-12-12,Female,United States,Illinois Institute of Technology,Biomedical Engineering,2024-03-11 12:01:41,Team Allocated,1070,2023-11-09 18:35:22,2022-11-03 18:30:39
2023-06-17 01:02:47,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2001-09-25,Male,India,Dhanekula Institute of Engineering and technology,Electronics and Communication,2024-03-11 12:01:41,Started,1080,2023-06-17 03:11:12,2022-11-03 18:30:39
2023-08-24 19:48:39,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2001-04-06,Female,United States,Saint Louis University,Computer Information Systems,2024-03-11 12:01:41,Team Allocated,1070,2023-08-24 19:59:53,2022-11-03 18:30:39
2023-07-25 12:15:31,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1999-04-27,Male,Egypt,Ras El-Bar Higher Institute for Qualitative Studies and Computer,Management Information Systems,2024-03-11 12:01:41,Team Allocated,1070,2023-08-11 13:36:05,2022-11-03 18:30:39
2023-03-14 18:13:26,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2005-12-31,Male,United States,Lake Nona High School,Computer Science,2024-03-11 12:01:41,Started,1080,2023-03-14 18:50:47,2022-11-03 18:30:39
2023-05-16 13:51:02,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2001-03-19,Female,India,Muffakham Jah College Of Engineering And Technology,Computer Science,2024-03-11 12:01:41,Team Allocated,1070,2023-08-21 17:49:10,2022-11-03 18:30:39
2023-01-05 16:32:52,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2006-12-05,Female,United States,dunlap high,Computer Science and Information Systems,2024-03-11 12:01:41,Team Allocated,1070,2023-07-24 15:19:03,2022-11-03 18:30:39
2023-02-28 21:24:55,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1999-11-18,Male,United States,Illinois Institute of Technology,Computer Science,2024-03-11 12:01:41,Started,1080,2023-02-28 22:18:36,2022-11-03 18:30:39
2023-06-11 12:46:39,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2004-09-09,Female,India,Allen institute,Other,2024-03-11 12:01:41,Started,1080,2023-06-14 02:37:32,2022-11-03 18:30:39
2023-01-05 16:33:04,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1995-11-09,Male,Ghana,University Of Energy and Natural Resources,Project Management,2024-03-11 12:01:41,Started,1080,2022-10-10 22:19:24,2022-11-03 18:30:39
2023-01-18 09:12:54,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1998-05-05,Male,India,Malla Reddy College of Engineering and Technology,Computer Science and Engineering,2024-03-11 12:01:41,Started,1080,2023-03-25 08:03:08,2022-11-03 18:30:39
2023-07-09 14:59:06,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1996-07-08,Male,India,Camellia School of Engineering and Technology,Data Science,2024-03-11 12:01:41,Team Allocated,1070,2023-07-09 17:16:27,2022-11-03 18:30:39
2023-05-18 07:50:32,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2004-09-29,Female,Pakistan,Beaconhouse College Programme Gulberg,Medicine,2024-03-11 12:01:41,Started,1080,2023-05-18 07:57:15,2022-11-03 18:30:39
2023-07-25 11:13:05,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2001-07-28,Male,India,ANNAMACHARYA INSTITUTE OF TECHNOLOGY AND SCIENCES,Electrical and Electronic Engineering,2024-03-11 12:01:41,Team Allocated,1070,2023-09-21 08:52:15,2022-11-03 18:30:39
2023-07-25 11:13:05,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2006-04-04,Male,Nigeria,Lagos state university,Accounting and Finance,2024-03-11 12:01:41,Team Allocated,1070,2023-09-21 08:52:15,2022-11-03 18:30:39
2023-03-18 19:00:44,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2005-03-06,Male,Morocco,ثانوية ابن سينا التأهيلية,Information,2024-03-11 12:01:41,Started,1080,2023-03-18 19:18:32,2022-11-03 18:30:39
2023-07-20 19:35:34,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1999-03-17,Female,United States,Saint Louis University,Computer Science and Information Systems,2024-03-11 12:01:41,Team Allocated,1070,2024-01-17 19:23:52,2022-11-03 18:30:39
2023-03-11 06:15:43,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2004-11-24,Female,Zambia,St Louis University,Actuarial Mathematics,2024-03-11 12:01:41,Started,1080,2023-03-11 06:25:46,2022-11-03 18:30:39
2023-08-12 14:35:22,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2000-04-01,Male,India,st. louis University,Computer Information Systems,2024-03-11 12:01:41,Team Allocated,1070,2023-09-03 04:26:32,2022-11-03 18:30:39
2023-07-06 10:08:23,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1993-03-10,Female,Ghana,Ghana Institute of Management and Public Administration,Business Administration,2024-03-11 12:01:41,Started,1080,2023-07-06 10:26:22,2022-11-03 18:30:39
2024-01-11 18:21:21,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1994-03-27,Female,United States,Saint Louis University,Computer Science,2024-03-11 12:01:41,Team Allocated,1070,2024-02-21 11:19:06,2022-11-03 18:30:39
2023-08-08 02:46:31,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2000-08-21,Male,United States,Saint Louis University,Information Systems,2024-03-11 12:01:41,Team Allocated,1070,2023-08-18 01:31:09,2022-11-03 18:30:39
2023-03-24 13:49:53,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2001-08-15,Male,Pakistan,Mehran UET SZAB Campus Khairpur Mir's Sindh Pakistan,Mechanical Engineering,2024-03-11 12:01:41,Started,1080,2023-03-24 13:57:26,2022-11-03 18:30:39
2023-03-16 17:37:35,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2001-06-12,Female,Pakistan,Hamdard University Karachi,Software Engineering,2024-03-11 12:01:41,Started,1080,2023-03-17 12:09:42,2022-11-03 18:30:39
2023-03-07 07:12:10,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2005-04-22,Female,United States,Ladue Horton Watkins High,Biological Sciences,2024-03-11 12:01:41,Started,1080,2023-03-07 07:27:57,2022-11-03 18:30:39
2023-08-20 19:24:36,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1990-06-12,Female,Ethiopia,Addis Ababa University,Urban and Housing Development,2024-03-11 12:01:41,Team Allocated,1070,2023-08-20 20:22:03,2022-11-03 18:30:39
2023-03-13 18:14:25,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2003-02-05,Male,India,Agurchand Manmull Jain College,Computer Science,2024-03-11 12:01:41,Started,1080,2023-03-13 18:21:26,2022-11-03 18:30:39
2023-06-14 14:25:56,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2004-06-19,Male,Ghana,St. Thomas Aquinas Senior High School,Human Resources,2024-03-11 12:01:41,Started,1080,2023-06-16 12:06:11,2022-11-03 18:30:39
2023-07-13 13:14:37,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2001-08-23,Female,United States,Saint Louis University,Cyber Security,2024-03-11 12:01:41,Team Allocated,1070,2023-07-13 13:22:30,2022-11-03 18:30:39
2023-06-17 06:35:35,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2001-09-21,Female,India,Parul University,Computer Science,2024-03-11 12:01:41,Started,1080,2023-06-17 07:29:10,2022-11-03 18:30:39
2024-02-10 04:27:23,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2000-10-09,Female,United States,Saint Louis University,Information Systems,2024-03-11 12:01:41,Team Allocated,1070,2024-02-10 04:47:10,2022-11-03 18:30:39
2023-07-09 10:02:01,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2001-08-24,Male,India,G.M INSTITUTE OF TECHNOLOGY,Computer Science,2024-03-11 12:01:41,Team Allocated,1070,2023-09-07 04:03:07,2022-11-03 18:30:39
2024-01-22 08:14:54,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2005-09-26,Female,Zimbabwe,Kamuzu university of health sciences,Medicine,2024-03-11 12:01:41,Team Allocated,1070,2024-01-22 08:37:28,2022-11-03 18:30:39
2023-05-19 09:10:43,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2004-04-19,Female,India,RVR & JC COLLEGE OF ENGINEERING,Computer Science and Engineering,2024-03-11 12:01:41,Started,1080,2023-05-19 09:24:46,2022-11-03 18:30:39
2024-02-07 07:17:13,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2001-01-15,Female,India,Kamla Nehru Mahavidhyalay Nagpur,Data Analytics,2024-03-11 12:01:41,Team Allocated,1070,2024-02-11 07:59:17,2022-11-03 18:30:39
2023-04-12 17:34:03,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2006-09-06,Female,India,Delhi Public School R.K. Puram,Computer Engineering,2024-03-11 12:01:41,Started,1080,2023-04-15 15:37:59,2022-11-03 18:30:39
2023-03-27 11:21:02,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2003-06-21,Male,India,Sagar Institute of Research and Technology-Excellence,Computer Science and Engineering,2024-03-11 12:01:41,Started,1080,2023-03-27 16:17:21,2022-11-03 18:30:39
2023-06-13 15:04:42,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1999-08-18,Male,Nigeria,Uníversity of Ilorin,Other,2024-03-11 12:01:41,Started,1080,2023-06-13 17:27:10,2022-11-03 18:30:39
2023-02-20 11:54:52,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2005-01-05,Female,Nigeria,Saint Louis University,Biomedical Engineering,2024-03-11 12:01:41,Started,1080,2023-06-18 18:06:55,2022-11-03 18:30:39
2023-06-11 08:49:27,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1999-12-11,Female,Nigeria,Yabatech,Accounting and Finance,2024-03-11 12:01:41,Started,1080,2023-06-11 08:59:55,2022-11-03 18:30:39
2023-08-22 18:39:30,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2001-07-18,Female,United States,saint louis university,Information Systems,2024-03-11 12:01:41,Team Allocated,1070,2023-08-23 16:35:28,2022-11-03 18:30:39
2023-06-19 17:31:11,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2000-06-19,Female,Pakistan,Superior group of college,Environmental Sciences,2024-03-11 12:01:41,Started,1080,2023-06-19 18:02:27,2022-11-03 18:30:39
2023-02-21 15:01:55,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2000-07-04,Female,Nigeria,University of Abuja,Philosophy,2024-03-11 12:01:41,Started,1080,2023-02-21 15:17:57,2022-11-03 18:30:39
2023-11-20 17:10:45,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2002-08-30,Male,India,ITM SLS BARODA UNIVERSITY,Computer Science and Engineering,2024-03-11 12:01:41,Team Allocated,1070,2023-11-20 17:28:46,2022-11-03 18:30:39
2023-01-05 16:33:02,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1989-12-08,Female,India,VEER NARMAD SOUTH GUJARAT UNIVERSITY,Project Management,2024-03-11 12:01:41,Started,1080,2022-11-23 09:07:37,2022-11-03 18:30:39
2023-01-28 19:47:41,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2004-01-15,Male,India,Global Institute of Technology And management,Student,2024-03-11 12:01:41,Started,1080,2023-01-28 20:01:29,2022-11-03 18:30:39
2023-11-09 15:27:12,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2000-04-10,Female,United States,Saint Louis university,Computer Information Systems,2024-03-11 12:01:41,Team Allocated,1070,2024-02-19 06:32:13,2022-11-03 18:30:39
2023-06-07 13:47:43,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1997-05-25,Female,Zimbabwe,Chinhoyi University of Technology,Industrial Engineering,2024-03-11 12:01:41,Started,1080,2023-06-13 13:17:54,2022-11-03 18:30:39
2023-05-18 20:03:05,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1995-02-08,Male,Uganda,EASTERN MINISTERIAL INSTITUTE,Theology or Divinity and Religious Studies,2024-03-11 12:01:41,Started,1080,2023-05-18 20:28:42,2022-11-03 18:30:39
2024-01-30 02:01:51,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2002-07-11,Male,United States,saint louis university,Data Analytics,2024-03-11 12:01:41,Team Allocated,1070,2024-01-30 03:00:42,2022-11-03 18:30:39
2023-10-18 07:00:06,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2003-05-13,Male,Ghana,Kwame Nkrumah University of Science and Technology,Electrical and Electronic Engineering,2024-03-11 12:01:41,Team Allocated,1070,2023-10-18 08:30:20,2022-11-03 18:30:39
2023-06-13 02:34:53,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1997-05-04,Male,United States,University of Connecticut,Business Analytics,2024-03-11 12:01:41,Team Allocated,1070,2023-07-12 14:11:52,2022-11-03 18:30:39
